Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment per cent,Sex...Marital.Status,Guarantors,Duration in Current address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,1,12,2,0,1227,5,4,3,3,1,2,2,49,1,2,2,2,1,1,1
1,4,18,2,6,1245,3,3,4,2,1,1,1,31,1,2,1,3,1,2,1
0,1,21,2,3,4771,5,2,1,2,1,3,3,42,3,2,1,4,1,2,1
1,2,24,1,3,7381,1,2,1,2,1,2,4,35,3,2,1,4,1,2,1
1,4,36,2,0,7127,1,4,4,3,1,4,2,28,3,1,1,3,2,1,1
1,2,12,2,3,2406,1,3,3,3,1,2,2,22,3,2,1,3,1,2,1
1,2,24,4,3,4115,1,3,2,3,1,2,3,37,3,2,2,2,1,1,1
0,1,48,0,2,9063,1,1,4,3,3,2,2,31,3,2,1,3,1,2,1
1,4,24,2,0,7876,1,3,2,3,1,2,3,28,3,3,1,3,1,2,1
1,1,10,2,0,2521,1,4,2,2,1,4,2,40,3,3,1,3,1,1,1
1,2,12,4,2,444,1,3,4,3,1,2,4,40,3,2,1,3,1,2,1
0,1,18,2,3,2117,1,4,1,3,1,4,1,23,2,1,2,1,1,1,1
1,4,45,2,3,12614,1,3,4,3,1,3,4,26,3,3,1,3,1,2,1
1,4,9,4,0,1163,5,4,4,2,1,4,2,27,3,1,2,3,1,2,1
0,1,15,2,0,2700,2,4,4,2,1,4,3,37,2,2,2,3,1,1,1
0,2,12,4,2,2689,1,4,2,2,1,1,3,36,1,2,2,3,2,2,1
0,2,21,2,0,1295,3,2,4,3,1,1,2,24,1,2,1,2,1,1,1
1,1,11,4,2,398,1,5,4,2,1,4,3,33,3,2,4,2,1,2,1
1,1,30,4,1,1379,1,5,4,3,1,2,3,25,3,2,1,3,1,1,1
1,2,24,2,0,1978,2,1,4,3,1,2,2,23,3,2,1,3,1,1,1
0,1,36,4,6,4727,1,1,1,3,1,1,2,19,3,1,1,2,1,1,1
0,4,24,2,2,1764,1,5,4,3,1,4,3,32,1,2,1,3,1,1,1
0,4,48,2,6,10434,3,5,3,2,1,4,3,30,3,2,2,3,1,2,1
0,1,60,2,3,10947,1,3,2,2,1,4,3,31,1,3,2,3,1,2,1
0,1,6,3,2,787,1,3,1,3,1,4,3,33,3,2,1,2,1,1,2
0,3,15,2,3,1597,1,1,4,4,1,3,2,23,3,2,1,3,1,1,1
0,1,15,0,1,2319,1,2,1,2,1,3,3,20,1,1,1,2,1,1,1
1,4,36,4,6,4447,2,3,4,3,1,1,3,61,3,2,1,3,1,2,1
1,1,12,4,2,1339,1,5,1,2,1,4,3,34,3,2,2,2,1,1,1
1,1,10,2,0,2140,5,3,2,2,1,2,1,48,3,2,1,3,1,2,1
1,2,10,3,0,1236,5,4,3,3,1,4,1,32,3,2,1,3,1,2,1
1,4,36,4,3,7143,1,3,3,3,1,2,3,26,3,2,1,3,1,1,1
1,4,12,2,5,3572,4,5,2,3,1,4,3,63,3,2,2,3,1,1,1
0,2,18,4,0,1239,1,5,4,2,1,4,2,49,3,2,2,3,1,1,1
1,2,15,2,9,1646,1,2,4,3,1,1,3,25,2,2,1,3,1,1,1
0,4,24,2,1,4280,1,5,1,2,1,4,3,25,1,3,2,2,1,1,1
1,4,12,3,3,1185,1,5,4,3,1,3,1,42,3,1,2,3,1,1,1
1,4,6,2,1,1101,3,2,3,3,1,2,2,23,3,2,1,3,1,1,1
0,4,18,2,3,2384,1,4,4,2,1,4,3,27,3,2,1,4,1,1,1
1,2,15,2,2,3974,1,2,3,3,1,1,1,38,3,2,1,4,1,2,1
1,4,30,2,1,5894,5,1,2,3,1,2,2,25,1,1,2,3,1,1,1
0,1,36,1,3,7053,1,3,4,1,1,4,4,29,3,3,1,3,1,1,1
1,4,18,3,0,6187,1,3,1,3,1,3,3,72,3,3,1,4,2,2,1
1,4,36,4,8,1376,5,3,4,2,1,4,3,49,3,2,2,3,1,2,1
0,3,12,4,0,2685,1,3,1,3,1,1,4,31,3,2,1,2,2,1,1
0,2,36,3,2,3385,1,3,2,3,1,3,3,26,3,2,2,3,1,1,1
1,4,15,4,2,1295,2,3,4,3,1,4,4,22,3,2,1,3,2,1,1
1,4,18,2,0,4600,5,2,2,3,1,4,3,25,3,2,1,3,1,1,1
0,2,18,2,2,2326,1,3,3,2,3,2,1,32,3,2,1,3,1,1,1
1,2,30,4,3,5180,1,4,1,2,1,2,2,44,3,2,2,3,1,2,1
0,1,30,2,3,5148,1,2,2,3,1,2,4,32,3,3,2,3,2,2,1
1,1,15,2,2,3756,1,1,3,3,1,1,4,23,3,3,1,3,1,1,1
1,4,48,4,9,3099,1,5,4,3,1,4,1,53,3,1,2,4,1,2,1
0,4,6,2,6,1262,5,3,3,3,1,4,3,28,1,2,1,2,1,1,1
1,2,36,2,3,7051,1,5,4,3,1,4,4,37,1,2,1,4,1,2,1
0,4,24,1,0,7162,1,3,4,2,1,1,1,25,1,1,1,3,1,2,1
1,2,30,4,9,1924,1,5,1,3,1,4,1,49,3,2,2,3,1,1,1
1,4,27,4,6,2333,5,3,4,3,1,2,2,27,3,2,2,3,1,2,1
0,2,9,2,3,748,2,3,4,3,3,3,3,23,3,2,2,3,1,1,1
1,4,30,2,3,2631,3,5,2,3,1,3,4,37,3,3,2,3,1,2,1
1,4,12,2,3,3160,5,1,1,3,1,2,1,20,3,2,1,1,1,1,1
1,2,12,4,3,2328,5,5,2,2,1,3,3,25,3,2,2,3,2,1,1
1,4,9,3,3,3059,1,3,1,2,1,3,3,51,3,2,1,3,1,2,1
0,4,12,4,2,3077,1,3,4,3,1,1,3,30,3,2,2,3,1,1,1
0,4,12,2,9,1410,1,3,4,3,1,3,1,62,3,2,2,3,1,2,1
1,1,10,4,1,3073,1,2,4,3,1,4,3,26,3,2,2,3,1,1,1
1,4,6,4,9,1216,1,3,4,2,1,2,3,57,3,2,2,4,1,1,1
1,1,36,2,3,1297,4,2,4,3,1,2,2,30,3,2,1,1,1,2,1
1,3,36,4,3,10362,5,5,1,1,1,4,3,36,3,2,1,3,1,1,1
1,4,36,4,3,10185,1,3,2,2,2,3,3,36,3,3,2,3,1,1,1
1,4,36,4,9,2426,1,4,4,3,1,4,3,39,3,2,1,4,1,1,1
0,1,24,2,2,2861,1,4,4,3,1,4,1,30,3,2,1,3,1,1,1
1,4,15,4,3,1300,3,5,2,3,1,4,1,36,3,2,2,2,1,2,1
1,4,36,2,9,2550,3,4,4,2,1,3,1,20,3,1,1,3,1,1,1
1,4,24,2,1,1386,5,5,4,3,1,4,2,31,1,2,1,2,1,2,1
1,4,9,4,6,1957,1,3,1,3,1,2,2,27,3,1,1,2,2,1,1
1,2,9,4,4,1364,1,3,2,3,1,4,1,62,3,2,2,3,1,2,1
1,3,24,3,0,2146,2,5,1,4,1,4,4,33,3,2,2,4,1,1,1
0,4,30,4,3,3443,4,4,4,3,1,4,3,35,3,2,1,4,1,1,1
0,1,21,2,1,2140,5,5,4,3,1,4,2,34,3,2,1,4,1,1,1
0,2,15,1,1,1049,1,2,2,4,1,1,3,23,3,1,1,3,1,1,1
1,1,10,1,3,1532,1,3,1,2,1,4,2,23,1,2,1,3,1,2,1
1,2,36,4,3,3123,1,5,4,2,1,4,1,48,3,1,3,3,1,1,1
0,1,30,1,6,4694,1,4,3,4,1,3,3,44,3,3,1,3,1,2,1
1,1,21,1,1,1409,2,3,4,3,2,4,2,32,3,2,1,3,1,1,1
1,4,21,2,5,4529,5,5,3,2,2,2,1,61,1,1,1,3,2,1,1
0,4,36,2,9,2852,1,2,4,2,1,1,1,24,3,1,1,3,1,1,1
0,4,36,2,1,4469,3,2,4,3,1,2,4,25,1,2,1,3,1,2,1
0,1,24,2,2,6757,4,3,4,2,1,4,4,47,3,2,1,4,1,2,1
1,4,6,2,2,1861,5,4,1,2,1,4,2,57,2,2,2,3,2,2,1
1,4,20,2,2,3495,3,4,2,3,1,3,3,47,3,1,2,3,1,1,1
0,2,15,4,3,1238,3,3,4,2,3,4,3,29,3,2,2,3,1,2,1
1,2,24,2,3,643,4,3,4,3,1,2,1,25,3,1,2,3,1,2,1
1,4,30,3,3,6563,5,3,4,2,1,4,3,27,3,2,1,4,1,2,1
1,4,15,2,3,1596,1,2,4,3,1,2,1,46,3,2,2,3,1,1,1
1,2,12,4,3,1020,1,2,4,3,1,2,2,40,3,2,2,2,1,2,1
1,4,24,1,9,3352,1,1,1,3,1,3,3,28,3,2,1,3,1,1,1
1,4,48,2,3,7173,1,4,4,4,1,2,4,51,3,3,1,3,1,2,1
1,4,36,2,10,7044,2,3,3,4,1,1,3,26,2,2,1,3,1,1,1
0,1,21,2,3,684,1,4,4,3,1,3,4,35,1,2,1,3,2,1,1
1,4,12,2,9,1542,5,5,4,3,1,2,1,26,3,2,2,2,1,1,1
1,4,30,2,1,5266,3,3,2,3,1,3,1,35,3,2,2,2,1,1,1
1,1,15,2,2,1048,1,5,3,2,2,2,2,46,3,2,1,3,1,2,2
1,3,6,2,3,1163,1,2,2,1,1,2,1,22,3,1,1,3,1,1,1
1,1,9,4,1,3355,1,2,1,2,1,3,1,36,3,1,2,3,1,1,1
1,4,24,2,3,1566,5,3,3,4,1,2,3,25,3,2,2,3,1,2,1
0,4,18,2,3,5211,5,5,4,3,1,2,2,38,2,2,2,3,1,1,1
1,1,6,2,0,904,5,4,3,1,2,1,4,39,1,2,1,3,1,2,2
1,4,24,2,2,975,5,4,4,2,1,3,1,24,3,2,1,2,1,1,1
1,1,18,2,3,1441,1,2,3,4,1,1,2,27,3,2,1,3,2,1,1
1,4,12,4,2,2068,3,5,2,2,1,4,3,42,3,2,2,4,1,2,1
0,3,18,4,0,3511,4,5,4,3,1,2,1,34,3,1,1,3,1,2,1
0,1,24,2,6,4639,1,3,1,1,2,2,4,47,1,2,1,2,2,1,1
1,4,12,0,9,2316,2,3,1,3,1,1,1,27,1,2,1,3,1,1,1
1,1,18,2,2,2238,5,2,3,3,1,3,1,25,2,1,1,3,1,1,1
1,1,15,2,0,1346,1,5,4,4,1,2,1,36,3,2,2,1,1,1,1
0,1,15,2,6,1172,1,2,4,3,1,3,3,26,3,1,2,3,1,2,1
1,4,36,3,0,12196,1,4,4,1,1,1,1,43,3,1,1,4,1,1,1
1,2,18,1,3,1230,1,4,3,2,1,4,1,39,3,2,1,3,1,2,1
0,4,24,2,0,2788,3,3,4,3,1,4,4,38,3,2,1,4,1,2,1
0,1,24,4,0,2758,1,3,4,3,1,3,1,50,3,1,1,3,1,1,2
1,4,12,2,2,1810,1,3,1,3,1,1,1,38,3,3,1,4,1,1,1
1,2,48,4,9,4279,5,3,4,1,1,4,3,26,3,2,1,3,1,1,1
1,1,9,4,0,3050,1,2,2,2,1,2,1,22,3,1,2,3,1,1,1
1,2,18,2,0,1881,1,3,4,2,1,3,3,35,3,2,1,3,1,1,1
1,4,15,2,3,1500,4,3,3,2,1,2,2,22,3,2,1,3,1,1,1
0,1,36,2,0,7229,1,4,1,3,2,4,2,31,3,2,2,3,2,1,1
1,2,24,2,0,1938,1,3,4,3,1,3,2,33,3,2,1,2,1,2,1
1,2,12,2,2,1284,2,4,3,3,1,4,3,42,3,2,2,2,1,1,1
1,3,10,2,9,4378,5,5,1,2,1,4,1,32,3,1,1,2,1,1,1
1,4,15,4,0,2334,5,3,1,3,1,4,1,26,3,2,1,3,1,2,1
1,4,18,3,9,3488,1,4,4,2,1,4,3,62,3,2,1,4,1,2,1
0,3,24,2,3,1393,1,2,4,4,1,2,3,31,3,2,1,2,1,2,1
0,1,12,2,0,1542,1,1,2,3,1,1,2,19,3,1,1,3,1,1,1
1,1,44,4,0,8124,1,3,1,3,1,2,2,23,3,2,1,4,1,2,1
1,1,13,2,3,495,2,3,4,3,3,4,1,23,3,1,1,2,1,1,1
1,4,48,2,3,1383,5,4,4,3,3,2,3,37,3,2,2,2,1,1,1
0,1,24,2,3,5803,4,1,1,3,2,3,1,23,3,2,2,3,1,1,1
1,3,12,0,0,1216,1,4,1,3,1,4,3,35,3,2,1,3,1,1,1
1,4,24,2,1,5122,1,3,2,4,1,3,1,33,3,1,1,4,1,2,1
1,1,24,2,9,6768,1,5,3,2,1,4,3,31,2,2,1,4,2,2,1
1,2,30,2,0,14355,2,2,4,2,1,4,4,33,3,2,1,4,1,2,1
1,4,15,4,0,5426,1,5,2,3,1,4,3,33,3,2,2,2,2,1,1
1,1,12,2,1,4795,5,4,1,3,1,4,3,37,2,2,1,3,1,2,1
1,1,15,2,0,2248,1,4,1,2,1,4,1,63,3,2,2,3,2,2,1
0,2,48,2,9,14482,3,3,4,2,1,3,4,38,1,2,1,4,1,1,1
1,4,21,2,3,2248,1,5,3,3,3,1,2,25,3,2,1,2,2,1,1
1,2,15,2,2,6614,1,1,1,1,1,3,1,29,3,2,1,2,1,2,2
0,2,18,2,6,1553,1,1,1,4,1,1,2,22,3,2,1,3,1,1,1
1,1,48,2,2,6224,3,3,4,3,1,4,4,48,3,3,1,4,1,2,1
0,1,36,2,2,10963,1,2,1,3,1,1,3,24,3,2,1,3,1,1,1
0,4,30,2,3,4016,5,4,3,3,1,4,3,68,3,3,1,4,1,2,1
1,2,18,2,6,1738,1,3,4,2,1,1,1,45,3,2,2,3,1,2,1
0,1,21,2,9,442,5,5,4,3,1,4,3,49,1,2,1,3,2,2,1
1,2,12,2,9,1375,5,5,4,3,1,3,3,31,3,2,1,3,1,1,1
1,2,18,2,8,3138,1,3,2,4,1,3,2,23,2,2,1,3,1,2,1
1,3,48,2,10,9043,3,2,2,3,1,4,1,22,3,1,1,3,1,2,1
1,2,12,4,2,2505,1,3,2,3,1,1,3,34,3,3,4,3,1,1,1
0,1,30,2,2,2136,1,3,4,3,1,4,3,28,3,2,1,3,1,2,1
0,4,36,2,3,5510,5,5,4,3,1,4,4,28,3,2,1,4,1,1,1
1,1,36,2,0,7409,2,2,2,3,1,4,1,28,1,2,1,4,1,1,1
1,4,10,3,9,1290,1,2,2,4,1,4,1,39,3,2,2,2,1,2,1
0,2,36,2,3,1985,1,4,4,2,1,4,4,63,3,2,2,3,1,2,1
1,1,36,2,2,6204,3,5,3,3,1,4,4,36,3,2,1,3,1,2,1
1,4,15,2,3,3917,5,4,4,4,1,2,2,29,3,2,1,3,1,2,1
1,2,18,2,1,6468,1,2,2,2,1,4,4,28,3,2,1,3,1,1,1
1,1,15,2,3,957,1,2,4,3,1,4,1,50,3,2,2,2,1,1,1
1,4,24,2,3,1271,1,5,4,2,1,4,4,46,3,2,2,4,2,2,1
1,1,24,4,3,8598,1,4,2,2,1,4,3,40,3,1,2,3,1,2,1
1,2,18,2,3,1345,1,3,3,2,1,2,2,25,1,2,2,2,1,1,1
0,2,30,2,10,5712,1,5,1,3,1,3,4,40,1,2,2,3,1,2,1
1,3,18,4,0,3125,1,5,3,4,1,4,3,51,3,3,3,3,2,2,1
1,4,15,2,10,2494,3,3,2,3,1,1,2,34,1,2,2,3,1,1,1
0,4,24,4,9,6335,1,4,2,3,1,4,2,31,3,1,2,3,1,1,1
1,4,11,2,0,2723,1,5,4,3,1,2,3,40,3,2,1,4,1,2,1
1,1,36,1,6,2462,1,3,4,2,1,4,2,26,3,2,1,3,1,2,1
1,4,12,2,3,1543,1,3,3,4,1,2,1,23,3,2,2,2,1,1,1
1,4,12,2,2,1804,2,3,2,3,1,4,1,35,3,1,2,3,1,1,2
0,1,24,3,2,3837,1,3,1,3,1,2,2,33,3,2,2,3,2,1,1
1,4,18,4,3,6066,5,5,1,2,1,2,4,57,3,2,1,3,1,2,1
1,4,18,2,3,2101,5,3,2,2,1,4,2,49,2,2,1,4,1,1,1
1,4,48,4,3,4350,2,5,4,3,2,2,4,65,3,3,2,3,1,2,1
1,4,7,2,2,660,1,4,4,4,1,3,1,39,3,1,2,4,1,1,1
0,4,24,2,3,1337,1,2,3,3,1,3,1,27,3,2,1,3,1,1,1
0,1,18,2,0,2965,1,2,1,1,1,2,3,44,3,2,1,3,1,2,1
1,2,18,2,3,7179,1,4,2,3,3,4,3,39,3,2,2,3,1,1,1
0,1,9,3,2,2564,1,3,1,3,1,1,3,26,3,2,2,3,1,1,1
0,4,15,2,0,7913,5,3,1,1,1,1,3,33,3,2,1,3,1,1,1
1,1,12,2,0,1072,1,5,1,4,1,2,1,41,3,2,1,3,2,1,1
1,2,6,4,0,917,1,4,1,2,1,4,3,58,3,2,2,2,1,1,1
1,4,48,2,1,10964,5,5,4,2,1,4,3,36,3,2,1,3,1,2,1
1,4,18,2,3,1049,2,4,3,2,1,4,2,40,3,2,1,3,1,1,1
1,1,9,2,2,1121,1,5,4,3,1,4,3,37,3,3,1,3,1,1,1
1,1,12,3,3,717,1,3,4,3,1,3,1,36,3,2,2,3,1,1,1
1,4,6,4,3,609,4,3,1,3,1,2,1,25,3,2,2,3,1,2,1
1,2,6,4,4,426,5,5,4,3,1,4,1,27,3,2,1,3,1,1,1
0,1,18,2,0,8326,4,2,1,3,2,1,1,22,1,1,1,3,1,1,1
1,4,15,2,0,1376,2,4,4,3,1,3,2,29,3,2,2,3,1,2,1
1,1,15,2,0,2174,1,3,3,2,1,1,2,25,1,1,1,3,1,2,1
0,1,6,4,3,6288,1,2,1,2,1,4,4,27,3,3,2,2,1,1,1
1,4,21,2,3,2430,2,5,4,2,1,2,3,47,3,2,1,2,2,1,1
0,1,48,2,9,6966,4,5,4,3,1,2,4,34,3,2,1,4,1,2,1
1,1,20,2,2,3757,1,5,3,3,3,1,3,26,1,2,3,3,2,1,1
0,4,21,4,1,4111,1,3,4,3,1,4,4,67,3,3,1,4,2,2,1
1,4,69,4,3,5953,5,5,4,2,1,4,3,41,3,2,2,4,1,2,1
1,3,15,2,3,1394,5,3,4,3,1,2,4,40,3,2,1,3,1,1,1
0,1,10,4,0,1429,1,5,4,3,1,4,3,37,3,2,2,3,1,1,1
1,4,12,3,0,1975,1,2,4,2,3,2,1,29,3,1,1,3,1,2,1
1,1,9,2,9,1005,1,1,4,4,2,1,1,23,1,1,1,3,1,2,1
0,1,45,2,3,2971,1,3,2,2,1,2,3,24,3,1,2,2,1,2,1
0,1,18,2,1,3911,1,4,4,3,1,2,1,22,3,1,1,4,1,1,1
1,1,12,0,6,1409,1,2,2,4,3,3,2,55,3,2,1,2,2,2,1
0,3,12,4,3,2894,4,2,3,4,1,4,1,37,3,1,1,4,1,1,1
0,1,42,3,3,9570,3,4,3,2,1,4,4,56,3,2,2,4,1,2,1
1,4,12,2,0,1381,1,3,1,1,1,2,1,24,3,1,2,3,1,1,1
0,4,48,2,9,3510,1,5,3,2,1,4,4,35,3,3,1,3,1,2,1
1,2,21,2,3,5084,3,3,4,2,1,2,1,26,3,2,1,3,1,1,1
1,2,18,2,0,2893,3,2,1,2,1,2,2,25,3,2,1,2,1,2,1
1,1,11,4,0,667,2,3,4,2,1,3,4,33,1,2,1,3,1,1,1
1,1,6,1,0,644,3,4,4,3,1,4,1,55,3,1,1,3,1,1,1
1,4,12,2,0,1543,1,5,4,4,1,4,2,63,3,2,3,2,1,1,1
