Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Sex...Marital.Status,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker
1,2,48,4,6,14253,1,2,1,2,1,1,3,27,3,2,1,4,1,2,1
1,2,24,3,1,3857,5,5,4,3,1,3,2,37,1,2,1,4,1,2,1
1,1,24,1,9,1838,1,2,1,2,1,2,3,31,3,2,1,3,1,2,1
1,1,22,1,2,2322,1,1,2,3,1,4,3,31,3,2,1,4,1,2,1
1,4,9,4,9,1264,1,4,4,3,1,3,1,35,3,1,3,4,1,2,1
1,4,54,2,9,1366,2,5,4,4,1,2,3,43,1,3,1,3,2,1,1
0,1,27,2,3,8325,1,3,4,3,2,4,2,55,1,2,1,3,1,1,1
1,1,15,4,0,1579,1,3,4,3,1,4,3,59,3,2,2,2,1,2,1
0,2,6,2,0,725,1,5,4,3,1,3,1,20,3,1,1,3,1,1,1
0,1,18,2,0,2429,1,3,2,2,1,4,3,49,3,2,1,2,1,1,1
1,2,10,2,2,1046,1,3,2,3,1,2,1,25,3,1,1,3,1,1,1
1,1,15,2,2,4921,5,5,4,3,1,4,3,26,3,2,1,3,1,2,1
0,2,18,2,2,1503,3,4,2,3,3,3,1,59,3,2,1,3,1,1,1
1,2,9,4,9,1280,1,3,4,3,1,1,2,25,3,2,1,3,2,1,1
0,2,24,2,2,9266,1,1,2,2,1,1,1,21,3,1,2,3,1,2,1
1,4,10,4,9,727,1,4,4,3,1,4,3,39,3,2,2,3,2,1,1
1,4,24,1,3,3524,1,2,4,2,1,3,2,27,1,2,1,4,1,1,1
1,1,24,4,1,8449,3,5,4,2,1,2,4,39,1,3,1,3,2,1,1
1,1,24,2,0,2387,5,3,4,2,1,3,2,39,1,2,2,3,2,2,1
1,4,18,2,0,1990,5,3,4,2,1,2,3,28,3,2,1,4,1,2,1
1,1,12,4,0,2506,1,5,2,2,1,4,3,40,3,2,1,3,2,1,1
0,2,24,2,3,1065,1,3,4,3,1,4,1,28,3,2,1,3,1,1,1
1,4,12,4,2,1191,1,3,2,1,1,3,1,33,3,1,2,3,1,2,1
0,1,24,2,3,2116,5,2,4,4,1,2,1,26,3,2,2,3,1,1,1
1,3,12,0,2,1563,1,4,3,4,1,2,3,39,2,2,1,3,1,1,1
1,4,24,2,6,3976,1,4,2,2,1,2,4,47,1,2,2,4,1,2,1
0,4,18,2,2,2134,1,5,4,2,1,4,3,41,3,2,1,4,1,2,1
1,1,36,2,2,3442,1,3,4,4,2,4,3,35,2,2,1,3,1,2,1
1,4,12,4,0,1350,3,4,4,2,1,2,1,54,3,2,3,2,1,1,2
1,2,24,0,9,4146,3,1,4,2,1,2,1,31,3,1,1,3,2,2,1
0,1,24,0,0,6873,3,5,4,1,1,4,1,34,1,1,1,3,1,1,1
1,2,48,2,3,14868,3,2,2,3,1,3,4,28,3,2,2,4,1,1,1
1,1,18,2,9,997,1,5,4,3,3,4,2,23,3,1,2,3,2,1,1
1,4,15,2,3,1940,1,1,3,3,1,1,2,38,3,2,2,3,1,1,1
1,4,12,1,0,901,1,2,1,3,1,2,1,25,1,1,1,1,1,1,1
0,2,8,4,0,1849,1,4,2,2,1,3,2,22,3,2,1,3,1,1,1
1,4,12,1,3,2981,5,3,2,3,1,2,1,49,3,2,1,2,2,2,1
1,2,24,4,2,2995,2,3,3,3,1,4,4,52,1,3,1,3,2,1,1
1,4,12,4,2,1992,5,4,4,3,1,2,3,54,1,2,1,3,1,2,1
1,1,9,2,0,935,5,3,2,3,1,4,3,30,3,3,1,3,1,1,1
1,1,6,2,1,791,2,4,3,3,1,4,1,46,1,2,3,3,2,1,2
1,4,12,4,5,372,1,5,4,4,1,4,1,32,3,2,3,1,1,1,1
1,4,24,4,9,2577,3,4,3,4,1,2,3,37,3,2,1,3,1,2,1
0,4,36,2,6,11984,1,1,1,3,1,1,3,22,3,2,2,3,1,2,1
0,4,24,3,0,1533,5,3,4,3,1,4,2,33,3,2,1,3,1,1,1
0,1,48,2,9,11578,1,5,4,3,1,4,4,37,1,3,2,3,1,2,1
1,4,24,1,0,2791,1,2,3,3,1,3,1,40,3,2,1,3,1,1,1
0,4,6,2,0,456,1,5,4,3,1,3,3,35,3,2,1,3,1,1,1
0,4,9,2,3,2039,1,2,2,3,1,2,2,49,3,2,1,3,2,2,1
0,1,36,2,2,3611,2,4,4,2,1,4,4,32,3,3,1,3,1,1,1
1,4,36,2,6,6353,1,3,2,3,1,4,2,47,3,2,2,3,1,1,1
1,4,24,4,9,6503,5,3,2,3,1,4,2,43,3,2,1,3,1,2,2
1,2,24,4,3,4458,3,5,4,3,1,4,3,37,3,1,2,3,1,1,1
1,4,24,0,3,2612,2,5,1,3,1,2,1,49,1,2,1,3,1,1,2
1,1,9,2,3,2239,1,2,2,2,1,4,3,24,1,2,1,3,2,1,1
1,4,10,4,3,1244,1,3,3,3,1,3,2,31,1,2,3,3,1,2,1
0,4,21,2,2,2577,5,1,4,2,1,3,2,20,1,2,1,3,1,2,1
1,1,18,2,3,2923,2,5,3,3,1,3,4,65,3,2,1,4,1,2,1
1,2,15,2,3,1288,1,5,4,2,1,3,3,35,3,2,2,3,1,2,1
0,1,10,2,3,604,1,3,4,2,1,2,2,54,3,2,1,2,1,1,1
0,2,12,2,0,1082,2,2,3,3,1,1,1,25,3,2,1,3,1,1,1
1,4,12,0,3,1543,5,4,4,3,1,2,1,54,2,2,1,3,2,1,1
0,2,60,2,0,11574,5,4,2,2,1,4,3,46,1,3,2,3,2,1,1
0,2,21,0,1,2180,1,3,4,3,1,2,1,28,1,1,1,1,1,1,1
1,4,12,4,0,1545,5,3,4,3,1,1,1,31,3,2,1,3,1,1,1
1,2,30,1,3,3398,1,2,4,2,1,2,1,27,3,2,2,2,1,1,1
1,1,6,2,2,935,1,2,1,3,1,3,1,22,3,1,1,2,1,2,1
0,1,6,2,0,433,1,1,4,3,1,1,1,31,3,2,2,4,2,1,1
0,2,12,2,2,4647,1,3,2,4,1,1,2,36,3,2,1,4,1,2,1
0,4,15,3,9,2362,1,5,3,4,1,4,3,28,3,2,1,3,1,1,1
1,4,24,3,7,1413,1,3,3,3,1,2,3,26,3,3,1,3,1,1,1
1,4,15,4,3,2319,1,5,4,2,1,2,3,57,3,1,1,4,1,2,1
1,4,36,3,6,5024,1,5,3,1,1,3,4,68,1,2,2,3,2,2,1
1,1,36,1,6,2897,5,5,1,3,1,3,3,40,3,2,1,3,1,1,1
0,1,12,2,2,1287,2,3,4,2,1,1,2,30,3,2,1,3,1,1,1
1,4,10,4,1,1463,1,5,4,3,1,4,2,63,3,2,1,3,1,1,1
0,2,24,2,0,2121,1,1,2,3,1,2,1,27,3,2,1,3,1,1,1
1,4,18,2,0,588,1,5,4,4,1,2,3,50,3,2,1,3,1,1,1
1,1,12,4,9,1536,1,5,1,3,1,4,2,62,3,2,1,2,1,2,1
0,2,48,2,1,15664,1,3,1,2,1,4,4,56,3,2,1,3,1,1,1
1,1,39,2,2,6224,2,3,1,3,1,2,2,34,3,2,1,2,1,1,1
0,1,6,4,0,3496,1,2,1,2,1,4,1,64,3,2,2,4,1,2,1
1,4,21,2,3,8383,1,3,4,2,1,2,3,35,3,2,2,4,1,2,1
0,2,42,3,2,2145,1,4,4,2,1,2,2,37,3,2,2,3,1,1,1
0,2,15,3,0,1047,1,5,4,3,1,3,1,26,3,2,1,2,1,1,1
1,3,18,2,0,3421,2,5,4,3,1,4,2,22,3,1,1,3,1,2,1
