Creditability,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment per cent,Sex...Marital.Status,Guarantors,Duration in Current address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,4,36,4,2,1816,5,5,4,3,1,2,3,44,3,2,1,3,1,2,1
0,4,60,4,2,3565,1,5,4,1,1,4,4,23,3,2,1,3,1,1,1
1,4,12,3,1,3562,1,3,1,3,1,2,3,23,1,2,1,3,1,2,1
0,1,24,2,9,6691,1,1,1,3,3,3,3,23,3,3,1,2,1,1,1
0,1,42,2,9,2895,2,4,4,3,1,4,3,35,3,2,2,2,1,2,1
1,3,9,2,0,2210,5,3,3,3,1,4,3,34,3,2,1,3,1,2,1
1,3,12,2,2,2216,5,3,3,2,1,2,1,30,3,2,1,3,1,1,1
1,4,18,2,2,1048,3,4,4,3,1,4,2,32,3,2,1,3,1,1,1
1,1,24,2,3,1449,1,3,3,2,1,2,1,26,3,1,1,3,1,1,1
0,2,18,2,6,1446,5,5,4,2,1,4,2,35,3,1,1,4,1,2,1
1,4,10,4,9,2710,1,3,1,3,1,2,3,28,1,2,2,3,1,2,1
1,4,6,3,6,624,2,5,4,3,1,4,2,25,3,2,1,2,1,1,1
0,2,24,2,3,2174,1,5,3,3,3,4,1,55,1,2,1,4,1,2,2
1,2,9,4,10,689,1,5,2,3,1,4,1,63,3,2,2,2,1,1,1
1,4,21,4,3,3944,5,5,2,2,1,2,3,24,3,1,1,4,1,2,1
0,2,24,4,3,3192,2,4,4,3,1,4,4,36,3,2,1,4,2,2,1
1,2,9,2,0,364,1,2,2,4,1,4,1,54,3,2,2,1,1,1,1
1,1,12,1,2,256,5,4,4,3,1,4,3,42,3,2,1,2,1,1,1
0,2,47,2,8,3600,1,4,4,3,3,2,3,54,3,2,1,3,1,2,1
1,4,12,4,2,4903,5,3,1,3,1,4,1,43,3,2,1,3,1,2,1
1,2,24,0,2,2405,4,2,4,3,3,4,2,29,3,2,1,4,1,2,1
1,4,15,3,1,3972,1,4,4,3,1,4,1,32,3,1,1,4,1,1,1
1,4,30,2,1,4813,5,1,4,1,1,3,1,21,3,1,2,3,2,1,1
0,3,6,2,0,717,1,5,4,2,3,4,4,44,3,2,1,3,1,2,1
1,2,24,2,2,3832,2,3,2,2,1,4,3,42,3,2,1,3,1,2,1
0,4,36,2,9,3177,2,4,4,2,1,2,4,58,3,2,1,3,1,2,1
1,1,24,4,6,6953,1,5,2,3,1,4,1,46,3,2,2,4,1,2,1
1,2,30,4,0,3560,5,4,3,2,1,4,3,61,3,2,2,3,2,2,1
1,4,24,3,0,3741,1,5,4,3,2,4,3,26,3,2,2,3,2,2,1
1,1,12,2,2,627,1,4,4,2,2,2,2,36,3,1,2,3,1,1,1
0,2,30,2,1,5961,1,5,3,2,1,4,3,45,3,2,1,3,1,2,1
1,4,10,4,5,2426,2,4,1,2,1,4,2,28,3,1,2,3,1,2,1
1,4,24,2,0,1881,5,5,4,3,1,4,1,31,3,2,1,3,1,1,1
0,1,12,2,1,1465,1,2,1,3,1,2,3,24,3,2,1,3,1,1,1
1,1,30,2,3,4761,5,3,4,1,1,4,4,32,3,3,1,3,1,2,1
1,2,6,4,2,695,5,3,4,4,1,2,1,28,3,1,2,3,1,2,1
0,2,24,4,3,2384,1,4,2,3,1,3,1,25,3,1,4,3,1,1,1
0,2,12,2,3,998,1,3,2,2,1,2,1,36,3,2,2,1,2,1,1
1,2,15,4,2,2145,1,3,1,3,1,3,4,41,3,2,2,3,2,2,1
1,4,12,4,3,1513,2,2,1,3,1,4,1,26,3,2,2,2,1,1,1
0,1,36,2,2,2747,1,5,2,3,1,4,2,26,3,2,2,2,1,1,1
